"Time","Temperature [AmbientT(Therm3T)]","Temperature [Temperature]","Heat flow [Signal]","Heat [Signal]","Normalized heat flow [Signal]","Normalized heat [Signal]","Time markers"
11976.088443994522,24.10657769918315,19.99992538792818,0.11285973846503168,251.119327348673,0.02821493461625792,62.77983183716825,""
11979.900943994522,24.098286985137065,19.999924955823197,0.11209359328555221,251.5479975854895,0.028023398321388053,62.886999396372374,""
11982.275943994522,24.093122278026385,19.999924686643038,0.11161581401549556,251.81383272641006,0.02790395350387389,62.953458181602514,""
11985.158756494522,24.08685327498744,19.99992435990792,0.11103524681842465,252.1350513728231,0.027758811704606163,63.03376284320578,""
11989.658756494522,24.077067514146158,19.999923849882357,0.11013180491935588,252.63267723923315,0.02753295122983897,63.15816930980829,""
11995.908756494522,24.063476179644375,19.999923141513527,0.10887379017863483,253.31706972391436,0.027218447544658707,63.32926743097859,""
12004.158756494522,24.045535618102026,19.99992220646667,0.1072148331194812,254.20843529501906,0.0268037082798703,63.552108823754764,""
12004.846256494522,24.04404057130683,19.999922128546103,0.10707678685455602,254.2816763511852,0.026769196713639004,63.5704190877963,""
12010.955631494522,23.936292324507697,19.99992143611557,0.10585005754578919,254.9325230093893,0.026462514386447297,63.73313075234733,""
12014.908756494522,23.866572870696494,19.999920988072283,0.10505537086340935,255.34879475521757,0.026263842715852338,63.83719868880439,""
12017.635318994522,23.885112865422336,19.999920679046383,0.10450801433242089,255.63464713754195,0.026127003583105223,63.90866178438549,""
12021.190006494522,23.909283918718195,19.99992027616161,0.10379561955941956,256.00531119769875,0.02594890488985489,64.00132779942469,""
12029.565006494522,23.966231982747132,19.999919326947378,0.10211838273856101,256.86757608232153,0.025529595684640253,64.21689402058038,""
12033.143131494522,23.9817727943167,19.999918921406227,0.10140356309830381,257.23041070653267,0.025350890774575953,64.30760267663317,""
12036.721256494522,23.95929342673803,19.99991851586507,0.10068874345804661,257.59324533074374,0.025172185864511653,64.39831133268594,""
12043.158756494522,23.918850197731857,19.999917786245174,0.09940826702052367,258.23730758322165,0.02485206675513092,64.55932689580541,""
12047.846256494522,23.88940124457202,19.99991725496855,0.0984783823853948,258.7011044177668,0.0246195955963487,64.6752761044417,""
12050.650943994522,23.871780954264718,19.99991693708804,0.09792253356189826,258.975759551323,0.024480633390474564,64.74393988783075,""
12053.432193994522,23.901794816784662,19.99991662186391,0.09737134710400519,259.2480958964974,0.024342836776001298,64.81202397412434,""
12058.033756494522,23.951452583706704,19.99991610032736,0.09646279754688822,259.69407650918504,0.024115699386722055,64.92351912729626,""
12065.783756494522,24.035086717470143,19.999915221950012,0.09493921530148061,260.4357593089725,0.023734803825370153,65.10893982724312,""
12069.846256494522,24.078927190813882,19.999912416738653,0.09414422776889028,260.8182202342836,0.02353605694222257,65.2045550585709,""
12073.908756494522,24.122767664157617,19.999908295137264,0.09334924023629995,261.20068115959475,0.023337310059074988,65.30017028989869,""
12076.588443994522,24.15168551484397,19.999905576465576,0.09282736151911089,261.4498820466155,0.023206840379777723,65.36247051165388,""
12078.400943994522,24.150600084297274,19.999903737597265,0.0924749881982059,261.61776354801503,0.023118747049551476,65.40444088700376,""
12081.908756494522,24.148499401903024,19.999900178752984,0.09179432712063264,261.94124978222504,0.02294858178015816,65.48531244555626,""
12087.721256494522,24.145018538425692,19.99989428169253,0.09067045667852677,262.47153806014137,0.022667614169631693,65.61788451503534,""
12092.158756494522,24.142361105018267,19.999889779635627,0.08981606834483606,262.871992537537,0.022454017086209015,65.71799813438425,""
12099.127506494522,24.13818781170942,19.999882709504014,0.08848028773680376,263.49324390325893,0.02212007193420094,65.87331097581473,""
12106.533756494522,24.13375251792379,19.999875195507627,0.08707125834433165,264.14333322234063,0.02176781458608291,66.03583330558516,""
12111.846256494522,24.130571083562785,19.999869805721197,0.08606730530650894,264.60323253203825,0.021516826326627235,66.15080813300956,""
12116.661686182022,24.127687323850633,19.99986492023647,0.08516322445388216,265.01516911426296,0.02129080611347054,66.25379227856574,""
12119.442936182022,24.120028262415207,19.999862098524748,0.08464243225602373,265.25105421841033,0.021160608064005933,66.31276355460258,""
12122.533756494522,24.111516700110737,19.999858962739072,0.08406423516549962,265.51236329405907,0.021016058791374904,66.37809082351477,""
12128.658756494522,24.094649553578787,19.99985274863236,0.0829274139911094,266.02377521960113,0.02073185349777735,66.50594380490028,""
12134.158756494522,24.07950354444806,19.999847168618167,0.0819132414777166,266.47708702214044,0.02047831036942915,66.61927175553511,""
12138.783756494522,24.066767127679036,19.99984247633351,0.08106529065045358,266.8539748776868,0.020266322662613395,66.7134937194217,""
12144.033756494522,24.05230957350879,19.999837149956324,0.080109168904731,267.2770578340192,0.02002729222618275,66.8192644585048,""
12146.440006494522,24.045683194514094,19.999834708700117,0.079672641765099,267.4690838821481,0.01991816044127475,66.86727097053702,""
12148.127506494522,24.0410361235308,19.999864195789034,0.07936718687320289,267.6032801516155,0.019841796718300723,66.90082003790387,""
12151.283756494522,24.032344379654646,19.99991934756646,0.07879758991098487,267.85308863888633,0.019699397477746218,66.96327215972158,""
12155.408756494522,24.020984872806594,19.999991427117152,0.07805739003611953,268.17660203502726,0.019514347509029882,67.04415050875681,""
12159.158756494522,24.01065804839928,20.000056953981414,0.07738737323927854,268.4680609661686,0.019346843309819634,67.11701524154215,""
12162.529850244522,24.00137466354145,20.000115859902102,0.07678820228308593,268.7278550590663,0.019197050570771482,67.18196376476658,""
12164.342350244522,23.996383365077914,20.00010750295585,0.07646792362678229,268.8664317852867,0.01911698090669557,67.21660794632167,""
